x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+75.515000E-03,-1.356281362E+00,-115.879416E-03,+18.843174E-03,+628.140591E-03
+75.520000E-03,-1.356281362E+00,+72.562796E-03,-1.865578979E+00,+4.748743638E+00
+75.525000E-03,-1.301004981E+00,+22.311539E-03,+1.023868322E+00,+326.633051E-03
+75.530000E-03,-1.321105483E+00,-115.879416E-03,+1.149496466E+00,+3.844221018E+00
+75.535000E-03,-1.436683372E+00,-115.879416E-03,+18.843174E-03,+2.650753672E+00
+75.540000E-03,-1.436683372E+00,-128.442231E-03,+18.843174E-03,+527.638078E-03
+75.545000E-03,-1.496984879E+00,-216.381930E-03,+18.843174E-03,+4.698492382E+00
+75.550000E-03,-1.476884376E+00,-27.939717E-03,+18.843174E-03,+238.693352E-03
+75.555000E-03,-1.456783874E+00,-78.190974E-03,+521.355748E-03,+3.994974788E+00
+75.560000E-03,-1.517085381E+00,-115.879416E-03,+144.471318E-03,+2.751256186E+00
+75.565000E-03,-1.517085381E+00,-115.879416E-03,+2.028893471E+00,+829.145618E-03
+75.570000E-03,-1.597487390E+00,-115.879416E-03,+2.028893471E+00,+4.547738612E+00
+75.575000E-03,-1.537185883E+00,-115.879416E-03,-1.991207123E+00,+326.633051E-03
+75.580000E-03,-1.522110506E+00,-115.879416E-03,+2.028893471E+00,+3.944723532E+00
+75.585000E-03,-1.622613018E+00,-115.879416E-03,+646.983892E-03,+2.738693371E+00
