#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1895C
#Date Time: 2017-05-13 21:07::22.037

Time (s),Channel 1 (V),Channel 2 (V)
-0.0048890909090909098,1.1566513635219895,4.3304842217895629
-0.0048878409090909094,1.1499913183902388,4.3473206851555659
-0.0048865909090909099,1.1766314989172288,4.3405860998091681
-0.0048853409090909095,1.1633114086537399,4.350687977828767
-0.0048840909090909091,1.1932816117466145,4.3473206851555677
-0.0048828409090909096,1.1866215666148672,4.350687977828767
-0.0048815909090909092,1.2066017020101205,4.3574225631751657
-0.0048803409090909097,1.2099317245759944,4.350687977828767
-0.0048790909090909093,1.206601702010119,4.3607898558483695
-0.0048778409090909098,1.2399019276688721,4.3574225631751684
-0.0048765909090909094,1.2165917697077449,4.3641571485215698
-0.0048753409090909099,1.2465619728006092,4.3641571485215698
-0.0048740909090909095,1.2365719051029966,4.3675244411947709
-0.0048728409090909091,1.2532220179323765,4.3742590265411687
-0.0048715909090909096,1.2598820630641239,4.3675244411947709
-0.0048703409090909092,1.2498919953665144,4.3776263192143707
-0.0048690909090909097,1.2865222435911261,4.3742590265411714
-0.0048678409090909093,1.2665421081958743,4.3809936118875736
-0.0048665909090909098,1.2998423338546121,4.3809936118875736
-0.0048653409090909094,1.2898522661570015,4.3843609045607739
-0.0048640909090909099,1.2998423338546228,4.3910954899071726
-0.0048628409090909095,1.3098324015522533,4.3877281972339741
-0.0048615909090909092,1.2965123112887644,1.1046178408627614
-0.0048603409090909096,1.3231524918157545,-0.080669180103342952
-0.0048590909090909093,1.2998423338546272,-0.057098131390938278
-0.0048578409090909097,1.3364725820792556,-0.053730838717737373
-0.0048565909090909094,1.3198224692498788,-0.050363546044536744
-0.0048553409090909098,1.3331425595133746,-0.04699625337133765
-0.0048540909090909095,1.3364725820792556,-0.050363546044536744
-0.0048528409090909099,1.3298125369475082,-0.043628960698138548
-0.0048515909090909096,1.3631127626062578,-0.053730838717737373
-0.0048503409090909092,1.3464626497768952,-0.040261668024936116
-0.0048490909090909097,1.3764328528697596,-0.043628960698135488
-0.0048478409090909093,1.3597827400403828,-0.046996253371336116
-0.0048465909090909098,1.3731028303038839,-0.033527082678533326
-0.0048453409090909094,1.3797628754356346,-0.050363546044536744
-0.0048440909090909099,1.3697728077380134,-0.043628960698138548
-0.0048428409090909095,1.3964129882650111,-0.050363546044536744
-0.0048415909090909091,1.3797628754356468,-0.043628960698138548
-0.0048403409090909096,1.4064030559626368,-0.050363546044536744
-0.0048390909090909092,1.3964129882650156,-0.057098131390935218
-0.0048378409090909097,1.4064030559626368,-0.050363546044536744
-0.0048365909090909093,1.4230531687920134,-0.057098131390938278
-0.0048353409090909098,1.4064030559626368,-0.046996253371336116
-0.0048340909090909094,1.4363732590555145,-0.057098131390938278
-0.0048328409090909099,1.4130631010943984,-0.050363546044539804
-0.0048315909090909095,1.4330432364896395,-0.053730838717737373
-0.0048303409090909091,1.426383191357895,-0.057098131390935218
-0.0048290909090909096,1.4397032816213899,-0.050363546044536744
-0.0048278409090909092,1.4563533944507556,-0.063832716737333414
-0.0048265909090909097,1.4330432364896395,-0.050363546044536744
-0.0048253409090909093,1.4630134395825172,-0.060465424064138906
-0.0048240909090909098,1.4397032816214006,-0.053730838717740433
-0.0048228409090909094,1.4630134395825172,-0.060465424064138906
-0.0048215909090909099,1.4563533944507694,-0.067200009410537095
-0.0048203409090909095,1.4563533944507663,-0.057098131390938278
-0.0048190909090909092,1.479663552411886,-0.067200009410537095
-0.0048178409090909096,1.4630134395825172,-0.060465424064138906
-0.0048165909090909093,1.4929836426753944,-0.073934594756941696
-0.0048153409090909097,1.4630134395825172,-0.070567302083741068
-0.0048140909090909094,1.4896536201095194,-0.060465424064138906
-0.0048128409090909098,1.4863235975436455,-0.067200009410537095
-0.0048115909090909095,1.482993574977769,-0.063832716737339534
-0.0048103409090909099,1.5029737103730116,-0.073934594756937103
-0.0048090909090909096,1.4796635524118935,-0.063832716737339534
-0.0048078409090909092,1.5096337555047621,-0.070567302083741068
-0.0048065909090909097,1.4896536201095194,-0.070567302083741068
-0.0048053409090909093,1.5063037329388962,-0.070567302083741068
-0.0048040909090909098,1.5063037329388962,-0.077301887430142324
-0.0048028409090909094,1.4929836426753944,-0.067200009410540162
-0.0048015909090909099,1.5196238232023851,-0.077301887430137731
-0.0048003409090909095,1.4963136652412701,-0.070567302083741068
-0.0047990909090909091,1.5229538457682632,-0.073934594756943223
-0.0047978409090909096,1.5029737103730207,-0.077301887430142324
-0.0047965909090909092,1.5262838683341464,-0.07393459475694629
-0.0047953409090909097,1.5229538457682723,-0.08403647277654358
-0.0047940909090909093,1.5063037329388962,-0.073934594756941696
-0.0047928409090909098,1.5329439134658984,-0.090771058122945114
-0.0047915909090909094,1.5096337555047712,-0.077301887430142324
-0.0047903409090909099,1.5396039585976353,-0.084036472776540513
-0.0047890909090909095,1.5196238232023973,-0.087403765449744486
-0.0047878409090909091,1.5262838683341511,-0.084036472776546647
-0.0047865909090909096,1.5329439134658984,-0.090771058122945114
-0.0047853409090909092,1.5229538457682845,-0.077301887430148444
-0.0047840909090909097,1.5495940262952752,-0.090771058122945114
-0.0047828409090909093,1.5129637780706466,-0.087403765449744486
-0.0047815909090909098,1.5429339811635103,-0.090771058122943588
-0.0047803409090909094,1.529613890900023,-0.090771058122945114
-0.0047790909090909099,1.5396039585976444,-0.087403765449746013
-0.0047778409090909095,1.5396039585976489,-0.09750564346934637
-0.0047765909090909092,1.5229538457682814,-0.08740376544974908
-0.0047753409090909096,1.5429339811635239,-0.09750564346934637
-0.0047740909090909093,1.526283868334148,-0.090771058122945114
-0.0047728409090909097,1.5495940262952752,-0.09750564346934637
-0.0047715909090909094,1.526283868334148,-0.1042402288157479
-0.0047703409090909098,1.5329439134658953,-0.097505643469349437
-0.0047690909090909095,1.5429339811635239,-0.10760752148894853
-0.0047678409090909099,1.5262838683341555,-0.097505643469350964
-0.0047665909090909096,1.5462640037293995,-0.1042402288157479
-0.0047653409090909092,1.5229538457682814,-0.10087293614255034
-0.0047640909090909097,1.5429339811635239,-0.10760752148894853
-0.0047628409090909093,1.5329439134658984,-0.1042402288157479
-0.0047615909090909098,1.529613890900023,-0.094138350796145742
-0.0047603409090909094,1.5429339811635239,-0.11097481416214916
-0.0047590909090909099,1.5129637780706602,-0.09750564346935249
-0.0047578409090909095,1.5429339811635239,-0.10760752148894853
-0.0047565909090909091,1.5196238232024017,-0.10087293614255034
-0.0047553409090909096,1.529613890900023,-0.10760752148894853
-0.0047540909090909092,1.5196238232023973,-0.10760752148894853
-0.0047528409090909097,1.5196238232023973,-0.10760752148894853
-0.0047515909090909093,1.5396039585976489,-0.11434210683535007
-0.0047503409090909098,1.5063037329388962,-0.10760752148894853
-0.0047490909090909094,1.5362739360317734,-0.11770939950855069
-0.0047478409090909099,1.5096337555047834,-0.11097481416215223
-0.0047465909090909095,1.5196238232023973,-0.11097481416214916
-0.0047453409090909091,1.5129637780706422,-0.12444398485494736
-0.0047440909090909096,1.5029737103730207,-0.11434210683535007
-0.0047428409090909092,1.5162938006365125,-0.1210766921817452
-0.0047415909090909097,1.4963136652412701,-0.10760752148894853
-0.0047403409090909093,1.5162938006365216,-0.11770939950855069
-0.0047390909090909098,1.4896536201095316,-0.1210766921817498
-0.0047378409090909094,1.5063037329388962,-0.11770939950855069
-0.0047365909090909099,1.4963136652412745,-0.12444398485494888
-0.0047353409090909095,1.4796635524118935,-0.11770939950855069
-0.0047340909090909091,1.4996436878071329,-0.12444398485495042
-0.0047328409090909096,1.4730035072801428,-0.12107669218175132
-0.0047315909090909092,1.4996436878071451,-0.12781127752815258
-0.0047303409090909097,1.4730035072801428,-0.12781127752815258
-0.0047290909090909094,1.482993574977769,-0.12444398485495195
-0.0047278409090909098,1.4796635524118951,-0.13791315554774861
-0.0047265909090909095,1.4630134395825172,-0.12444398485495195
-0.0047253409090909099,1.4829935749777599,-0.13117857020135043
-0.0047240909090909096,1.4496933493190156,-0.13117857020135348
-0.0047228409090909092,1.4663434621483831,-0.13117857020135196
-0.0047215909090909097,1.4463633267531406,-0.12781127752815258
-0.0047203409090909093,1.4530233718848913,-0.12781127752815258
-0.0047190909090909098,1.4563533944507663,-0.13454586287455411
-0.0047178409090909094,1.4330432364896395,-0.12107669218175132
-0.0047165909090909099,1.4530233718848822,-0.13791315554774708
-0.0047153409090909095,1.4230531687920134,-0.12781127752815258
-0.0047140909090909091,1.4397032816213808,-0.13791315554775321
-0.0047128409090909096,1.4197231462261384,-0.13454586287455411
-0.0047115909090909092,1.4230531687920118,-0.12781127752815719
-0.0047103409090909097,1.4197231462261384,-0.13791315554775474
-0.0047090909090909093,1.4030730333967618,-0.12444398485495195
-0.0047078409090909098,1.4197231462261384,-0.13791315554775474
-0.0047065909090909094,1.38309289800151,-0.13117857020135348
-0.0047053409090909099,1.4064030559626262,-0.14128044822095076
-0.0047040909090909095,1.38309289800151,-0.14464774089415627
-0.0047028409090909091,1.3897529431332589,-0.13454586287456025
-0.0047015909090909096,1.386422920567385,-0.1480150335673569
-0.0047003409090909092,1.3664427851721423,-0.13791315554775627
-0.0046990909090909097,1.386422920567385,-0.14128044822095537
-0.0046978409090909093,1.3631127626062578,-0.13791315554775474
-0.0046965909090909098,1.3731028303038795,-0.14464774089415322
-0.0046953409090909094,1.3497926723427567,-0.1480150335673569
-0.0046940909090909099,1.3531226949086308,-0.14128044822095842
-0.0046928409090909095,1.3564527174745074,-0.14464774089415627
-0.0046915909090909091,1.3298125369475111,-0.13454586287455872
-0.0046903409090909096,1.343132627211006,-0.14464774089415627
-0.0046890909090909092,1.3131624241181283,-0.14128044822095537
-0.0046878409090909097,1.3298125369475051,-0.1480150335673569
-0.0046865909090909093,1.3198224692498788,-0.15474961891375816
-0.0046853409090909098,1.3098324015522578,-0.1412804482209615
-0.0046840909090909095,1.3098324015522533,-0.15474961891375816
-0.0046828409090909099,1.2831922210252633,-0.14464774089416088
-0.0046815909090909096,1.3031723564205029,-0.15138232624055753
-0.0046803409090909092,1.2698721307617553,-0.15138232624055753
-0.0046790909090909097,1.2831922210252511,-0.15138232624055753
-0.0046778409090909093,1.2665421081958743,-0.15474961891375816
-0.0046765909090909098,1.2598820630641239,-0.15138232624055753
-0.0046753409090909094,1.273202153327625,-0.15474961891375816
-0.0046740909090909099,1.2332418825371394,-0.14801503356735995
-0.0046728409090909095,1.2598820630641239,-0.15811691158695879
-0.0046715909090909091,1.2299118599712477,-0.15138232624055906
-0.0046703409090909096,1.2332418825371212,-0.15474961891375816
-0.0046690909090909092,1.2199217922736139,-0.16485149693335571
-0.0046678409090909097,1.206601702010119,-0.15474961891375816
-0.0046665909090909093,1.2165917697077449,-0.16148420426015969
-0.0046653409090909098,1.1866215666148672,-0.15474961891375816
-0.0046640909090909094,1.203271679444244,-0.16821878960656095
-0.0046628409090909099,1.1733014763513796,-0.16148420426016274
-0.0046615909090909095,1.1832915440489917,-0.15474961891375816
-0.0046603409090909091,1.1699714537854813,-0.16485149693335727
-0.0046590909090909096,1.1499913183902388,-0.15811691158695879
-0.0046578409090909092,1.1633114086537264,-0.16821878960655789
-0.0046565909090909097,1.1333412055608623,-0.16148420426015969
-0.0046553409090909093,1.1499913183902388,-0.16485149693336032
-0.0046540909090909098,1.1200211152973609,-0.16148420426015969
-0.0046528409090909094,1.1166910927314859,-0.16148420426015969
-0.0046515909090909099,1.1166910927314859,-0.16821878960655789
-0.0046503409090909095,1.0967109573362337,-0.16148420426015969
-0.0046490909090909091,1.1100310475997173,-0.16821878960655942
-0.0046478409090909096,1.0700707768092315,-0.16485149693336032
-0.0046465909090909092,1.0900509122044832,-0.17158608227976158
-0.0046453409090909097,1.0667407542433565,-0.16821878960656095
-0.0046440909090909093,1.063410731677481,-0.16148420426015969
-0.0046428409090909098,1.063410731677481,-0.17158608227975697
-0.0046415909090909094,1.0267804834528527,-0.16148420426015969
