Designator	navn	beskrivelse	pris
"R51000"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
"U51201"	"74HC14"	"Hex Schmitt trigger"	"4"
"R53005"	"47R"	"47R 0.1W 5% Thick film resistor"	"0"
"R53004"	"47R"	"47R 0.1W 5% Thick film resistor"	"0"
"R53003"	"47R"	"47R 0.1W 5% Thick film resistor"	"0"
"R51205"	"47R"	"47R 0.1W 5% Thick film resistor"	"0"
"R51020"	"47R"	"47R 0.1W 5% Thick film resistor"	"0"
"R51019"	"47R"	"47R 0.1W 5% Thick film resistor"	"0"
"R51018"	"47R"	"47R 0.1W 5% Thick film resistor"	"0"
"R51009"	"47R"	"47R 0.1W 5% Thick film resistor"	"0"
"R51008"	"47R"	"47R 0.1W 5% Thick film resistor"	"0"
"R51007"	"47R"	"47R 0.1W 5% Thick film resistor"	"0"
"R52502"	"16k"	""	"0"
"D53105_TK531_2"	"15ETX06"	"DIODE, HYPERFAST, 15A, 600V"	"26"
"D53105_TK531_1"	"15ETX06"	"DIODE, HYPERFAST, 15A, 600V"	"26"
"D53101_TK531_2"	"15ETX06"	"DIODE, HYPERFAST, 15A, 600V"	"26"
"D53101_TK531_1"	"15ETX06"	"DIODE, HYPERFAST, 15A, 600V"	"26"
"R50217"	"10k"	""	"0"
"R50216"	"10k"	""	"0"
"R50209"	"10k"	""	"0"
"R50208"	"10k"	""	"0"
"R50201"	"10k"	""	"0"
"R50200"	"10k"	""	"0"
"R53101_TK531_2"	"10"	""	"0"
"R53101_TK531_1"	"10"	""	"0"
"R53100_TK531_2"	"10"	""	"0"
"R53100_TK531_1"	"10"	""	"0"
"D53100_TK531_2"	"1V5KE400A"	"TVSdiode,  400V, 1500W"	"7"
"D53100_TK531_1"	"1V5KE400A"	"TVSdiode,  400V, 1500W"	"7"
"D53104_TK531_2"	"1V5KE400A"	"TVSdiode,  400V, 1500W"	"7"
"D53104_TK531_1"	"1V5KE400A"	"TVSdiode,  400V, 1500W"	"7"
"D53103_TK531_2"	"1N4744A"	"Zenerdiode 15V 1.3W"	"2"
"D53103_TK531_1"	"1N4744A"	"Zenerdiode 15V 1.3W"	"2"
"D53102_TK531_2"	"1N4744A"	"Zenerdiode 15V 1.3W"	"2"
"D53102_TK531_1"	"1N4744A"	"Zenerdiode 15V 1.3W"	"2"
"D53107_TK531_2"	"1N4744A"	"Zenerdiode 15V 1.3W"	"2"
"D53107_TK531_1"	"1N4744A"	"Zenerdiode 15V 1.3W"	"2"
"D53106_TK531_2"	"1N4744A"	"Zenerdiode 15V 1.3W"	"2"
"D53106_TK531_1"	"1N4744A"	"Zenerdiode 15V 1.3W"	"2"
"R50229"	"0R"	""	"0"
"R50228"	"0R"	""	"0"
"R50227"	"0R"	""	"0"
"R50226"	"0R"	""	"0"
"R50225"	"0R"	""	"0"
"R50224"	"0R"	""	"0"
"U51406"	""	""	""
"U51404"	""	""	""
"U51403"	""	""	""
"U51402"	""	""	""
"U51401"	""	""	""
"U51400"	""	""	""
"U51303"	""	""	""
"U51302"	""	""	""
"U51301"	""	""	""
"U51300"	""	""	""
"U51201"	""	""	""
"R51406"	""	""	""
"R51401"	""	""	""
"R51400"	""	""	""
"R51306"	""	""	""
"R51305"	""	""	""
"R51304"	""	""	""
"R51303"	""	""	""
"R51302"	""	""	""
"R51301"	""	""	""
"R51300"	""	""	""
"R51204"	""	""	""
"R51203"	""	""	""
"R51202"	""	""	""
"R51201"	""	""	""
"L51200"	""	""	""
"D51400"	""	""	""
"J51305"	""	""	""
"J51304"	""	""	""
"J51303"	""	""	""
"D51406"	""	""	""
"D51405"	""	""	""
"J51302"	""	""	""
"D51404"	""	""	""
"D51403"	""	""	""
"C51415"	""	""	""
"D51303"	""	""	""
"J51301"	""	""	""
"J51300"	""	""	""
"D51302"	""	""	""
"C51414"	""	""	""
"C51413"	""	""	""
"C51412"	""	""	""
"C51411"	""	""	""
"C51410"	""	""	""
"C51409"	""	""	""
"C51408"	""	""	""
"C51407"	""	""	""
"C51406"	""	""	""
"C51405"	""	""	""
"C51404"	""	""	""
"C51403"	""	""	""
"C51402"	""	""	""
"C51401"	""	""	""
"C51400"	""	""	""
"C51305"	""	""	""
"D51401"	""	""	""
"C51304"	""	""	""
"C51303"	""	""	""
"C51302"	""	""	""
"C51301"	""	""	""
"C51300"	""	""	""
"C51205"	""	""	""
"C51204"	""	""	""
"C51203"	""	""	""
"D51402"	""	""	""
"J52002"	""	""	""
"J52001"	""	""	""
"C51202"	""	""	""
"C51201"	""	""	""
"J52000"	""	""	""
"D51200"	""	""	""
"D51301"	""	""	""
"D51300"	""	""	""
"C51200"	""	""	""
